,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
3,6,California,1,Alameda,11.0,6,1
4,6,California,7,Butte,6.0,6,7
5,6,California,19,Fresno,11.0,6,19
6,6,California,29,Kern,7.0,6,29
7,6,California,29,Kern,3.0,6,29
8,6,California,29,Kern,7.0,6,29
9,6,California,37,Los Angeles,13.0,6,37
10,6,California,37,Los Angeles,18.0,6,37
11,6,California,51,Mono,5.0,6,51
12,6,California,67,Sacramento,35.0,6,67
13,6,California,71,San Bernardino,18.0,6,71
14,6,California,73,San Diego,23.0,6,73
15,6,California,83,Santa Barbara,0.0,6,83
16,6,California,89,Shasta,11.0,6,89
47,42,Pennsylvania,49,Erie,7.0,42,49
48,42,Pennsylvania,101,Philadelphia,13.0,42,101
50,48,Texas,29,Bexar,22.0,48,29
63,6,California,23,Humboldt,30.0,6,23
64,6,California,23,Humboldt,11.0,6,23
65,6,California,65,Riverside,18.0,6,65
66,6,California,71,San Bernardino,11.0,6,71
67,6,California,71,San Bernardino,22.0,6,71
68,6,California,71,San Bernardino,11.0,6,71
69,6,California,73,San Diego,24.0,6,73
70,6,California,83,Santa Barbara,11.0,6,83
71,6,California,83,Santa Barbara,7.0,6,83
72,6,California,85,Santa Clara,11.0,6,85
73,6,California,97,Sonoma,11.0,6,97
74,6,California,99,Stanislaus,0.0,6,99
104,42,Pennsylvania,43,Dauphin,6.0,42,43
105,42,Pennsylvania,71,Lancaster,5.0,42,71
106,42,Pennsylvania,101,Philadelphia,10.0,42,101
108,48,Texas,29,Bexar,6.0,48,29
109,48,Texas,113,Dallas,2.0,48,113
128,6,California,7,Butte,9.0,6,7
129,6,California,29,Kern,19.0,6,29
130,6,California,37,Los Angeles,23.0,6,37
131,6,California,37,Los Angeles,33.0,6,37
132,6,California,37,Los Angeles,10.0,6,37
133,6,California,53,Monterey,16.0,6,53
134,6,California,61,Placer,13.0,6,61
135,6,California,83,Santa Barbara,47.0,6,83
136,6,California,83,Santa Barbara,0.0,6,83
137,6,California,85,Santa Clara,6.0,6,85
138,6,California,107,Tulare,11.0,6,107
163,42,Pennsylvania,11,Berks,19.0,42,11
164,42,Pennsylvania,11,Berks,16.0,42,11
165,42,Pennsylvania,49,Erie,18.0,42,49
166,42,Pennsylvania,69,Lackawanna,5.0,42,69
167,42,Pennsylvania,101,Philadelphia,13.0,42,101
168,42,Pennsylvania,125,Washington,9.0,42,125
169,48,Texas,141,El Paso,47.0,48,141
185,6,California,1,Alameda,11.0,6,1
186,6,California,13,Contra Costa,15.0,6,13
187,6,California,17,El Dorado,16.0,6,17
188,6,California,19,Fresno,5.0,6,19
189,6,California,45,Mendocino,0.0,6,45
