,state_code,state_name,county_code,county_name,aqi,state_code_int,county_code_int
0,4,Arizona,13,Maricopa,18.0,4,13
1,4,Arizona,13,Maricopa,9.0,4,13
2,4,Arizona,19,Pima,20.0,4,19
17,8,Colorado,41,El Paso,9.0,8,41
18,12,Florida,31,Duval,15.0,12,31
19,12,Florida,31,Duval,13.0,12,31
20,12,Florida,57,Hillsborough,19.0,12,57
21,15,Hawaii,3,Honolulu,10.0,15,3
22,17,Illinois,167,Sangamon,20.0,17,167
23,18,Indiana,97,Marion,32.0,18,97
24,21,Kentucky,101,Henderson,8.0,21,101
25,21,Kentucky,111,Jefferson,6.0,21,111
26,21,Kentucky,145,McCracken,13.0,21,145
27,21,Kentucky,145,McCracken,13.0,21,145
28,22,Louisiana,33,East Baton Rouge,5.0,22,33
29,24,Maryland,510,Baltimore (City),33.0,24,510
30,25,Massachusetts,25,Suffolk,13.0,25,25
31,26,Michigan,163,Wayne,19.0,26,163
32,27,Minnesota,137,Saint Louis,16.0,27,137
33,29,Missouri,189,Saint Louis,10.0,29,189
34,34,New Jersey,3,Bergen,41.0,34,3
35,34,New Jersey,23,Middlesex,17.0,34,23
36,35,New Mexico,1,Bernalillo,11.0,35,1
37,35,New Mexico,45,San Juan,6.0,35,45
38,36,New York,61,New York,13.0,36,61
39,36,New York,61,New York,24.0,36,61
40,36,New York,63,Niagara,13.0,36,63
41,37,North Carolina,119,Mecklenburg,28.0,37,119
42,39,Ohio,49,Franklin,10.0,39,49
43,39,Ohio,61,Hamilton,17.0,39,61
44,40,Oklahoma,109,Oklahoma,14.0,40,109
45,41,Oregon,35,Klamath,31.0,41,35
46,41,Oregon,51,Multnomah,28.0,41,51
49,47,Tennessee,157,Shelby,38.0,47,157
51,49,Utah,35,Salt Lake,19.0,49,35
52,50,Vermont,7,Chittenden,18.0,50,7
53,50,Vermont,7,Chittenden,20.0,50,7
54,51,Virginia,59,Fairfax,39.0,51,59
55,51,Virginia,710,Norfolk City,15.0,51,710
56,51,Virginia,760,Richmond City,17.0,51,760
57,53,Washington,33,King,55.0,53,33
58,53,Washington,33,King,22.0,53,33
59,53,Washington,77,Yakima,35.0,53,77
60,55,Wisconsin,79,Milwaukee,10.0,55,79
61,4,Arizona,13,Maricopa,56.0,4,13
62,4,Arizona,19,Pima,30.0,4,19
75,8,Colorado,13,Boulder,28.0,8,13
76,8,Colorado,41,El Paso,9.0,8,41
77,8,Colorado,41,El Paso,9.0,8,41
78,15,Hawaii,3,Honolulu,6.0,15,3
79,17,Illinois,167,Sangamon,26.0,17,167
80,18,Indiana,97,Marion,27.0,18,97
81,19,Iowa,153,Polk,14.0,19,153
82,20,Kansas,173,Sedgwick,16.0,20,173
83,22,Louisiana,71,Orleans,5.0,22,71
84,24,Maryland,1,Allegany,9.0,24,1
85,24,Maryland,31,Montgomery,24.0,24,31
86,26,Michigan,163,Wayne,17.0,26,163
87,27,Minnesota,53,Hennepin,16.0,27,53
88,29,Missouri,47,Clay,6.0,29,47
89,29,Missouri,95,Jackson,3.0,29,95
90,30,Montana,63,Missoula,14.0,30,63
91,32,Nevada,31,Washoe,52.0,32,31
92,32,Nevada,31,Washoe,8.0,32,31
93,34,New Jersey,7,Camden,7.0,34,7
94,35,New Mexico,45,San Juan,17.0,35,45
95,35,New Mexico,45,San Juan,14.0,35,45
96,36,New York,55,Monroe,18.0,36,55
